content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks,useless_to_recall,questions
".  He has to go back and redo the block his transaction is in and all the blocks after it, as well as any new blocks the network keeps adding to the end while he's doing that.  He's rewriting history.  Once his branch is longer, it becomes the new valid one.
This touches on a key point.  Even though everyone present may see the shenanigans going on, there's no way to take advantage of that fact.
It is strictly necessary that the longest chain is always considered the valid one.  Nodes that were present may remember that one branch was there first and got replaced by another, but there would be no way for them to convince those who were not present of this.  We can't have subfactions of nodes that cling to one branch that they think was first, others that saw another branch first, and others that joined later and never saw what happened.  The CPU power proof-of-work vote must have the final say",3,emails,email,email_012_Bitcoin_P2P_e-cash_paper,12,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,7,False,"['What does it mean for Satoshi Nakamoto to be rewriting history in the Bitcoin network?', 'Why is it necessary for nodes to consider the longest chain as the valid one?', 'Can a subfederation of nodes exist in the Bitcoin network where different branches have the same number of blocks?']"
".  The CPU power proof-of-work vote must have the final say.  The only way for everyone to stay on the same page is to believe that the longest chain is always the valid one, no matter what.
> As far as the spending transactions, what checks does the recipient of a
> coin have to perform? Does she need to go back through the coin's entire
> history of transfers, and make sure that every transaction on the list is
> indeed linked into the ""timestamp"" block chain? Or can she just do the
> latest one?
The recipient just needs to verify it back to a depth that is sufficiently far back in the block chain, which will often only require a depth of 2 transactions.  All transactions before that can be discarded.
> Do the timestamp nodes check transactions, making sure that
> the previous transaction on a coin is in the chain, thereby enforcing
> the rule that all transactions in the chain represent valid coins?
Right, exactly",4,emails,email,email_012_Bitcoin_P2P_e-cash_paper,12,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,7,False,"['What does it mean for a transaction to be part of the longest chain in Bitcoin?', 'Does Satoshi Nakamoto consider the length of a block in determining its validity?', 'Can the recipient of a coin verify all transactions, or is there some limit?', ""How far back into a coin's history do blockchain timestamp nodes need to go to validate it?""]"
".  When a node receives a block, it checks the signatures of every transaction in it against previous transactions in blocks.  Blocks can only contain transactions that depend on valid transactions in previous blocks or the same block.  Transaction C could depend on transaction B in the same block and B depends on transaction A in an earlier block.
> Sorry about all the questions, but as I said this does seem to be a
> very promising and original idea, and I am looking forward to seeing
> how the concept is further developed. It would be helpful to see a more
> process oriented description of the idea, with concrete details of the
> data structures for the various objects (coins, blocks, transactions),
> the data which is included in messages, and algorithmic descriptions
> of the procedures for handling the various events which would occur in
> this system",5,emails,email,email_012_Bitcoin_P2P_e-cash_paper,12,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,7,False,"[""What does it mean for a transaction to 'depend' on another transaction in the same block?"", 'How are transactions verified in Bitcoin blocks?', 'Does Bitcoin have a built-in mechanism to prevent transactions from depending on unconfirmed transactions?', 'Are there any special considerations when sending a transaction that depends on multiple previous transactions?', 'Can you explain how blockchain nodes keep track of which transactions are included in each block?', ""Can a block be created with a transaction that doesn't depend on other transactions?""]"
". You mentioned that you are working on an implementation,
> but I think a more formal, text description of the system would be a
> helpful next step.
I appreciate your questions.  I actually did this kind of backwards.  I had to write all the code before I could convince myself that I could solve every problem, then I wrote the paper.  I think I will be able to release the code sooner than I could write a detailed spec.  You're already right about most of your assumptions where you filled in the blanks.
Satoshi Nakamoto
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",6,emails,email,email_012_Bitcoin_P2P_e-cash_paper,12,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_012_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,7,False,"['What system would Satoshi Nakamoto describe as his focus in Bitcoin development?', 'Was the implementation approach of writing code before describing the system a common methodology for him?', ""At what point did Satoshi decide to release the code compared to writing a detailed specification?', ""]"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 9, 2008 at 03:09:49 UTC
James A. Donald wrote:
> The core concept is that lots of entities keep complete and consistent
> information as to who owns which bitcoins.
>
> But maintaining consistency is tricky. It is not clear to me what
> happens when someone reports one transaction to one maintainer, and
> someone else transports another transaction to another maintainer",0,emails,email,email_013_Bitcoin_P2P_e-cash_paper,13,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['What is maintained as complete and consistent information regarding bitcoins in a peer-to-peer system?', 'How does the consistency of ownership tracking affect the maintainers in a peer-to-peer e-cash system?', 'Can multiple parties update different maintainer nodes independently without affecting overall integrity?']"
". The
> transaction cannot be known to be valid until it has been incorporated
> into a globally shared view of all past transactions, and no one can
> know that a globally shared view of all past transactions is globally
> shared until after some time has passed, and after many new
> transactions have arrived.
>
> Did you explain how to do this, and it just passed over my head, or
> were you confident it could be done, and a bit vague as to the details?
The proof-of-work chain is the solution to the synchronisation problem, and to knowing what the globally shared view is without having to trust anyone.
A transaction will quickly propagate throughout the network, so if two versions of the same transaction were reported at close to the same time, the one with the head start would have a big advantage in reaching many more nodes first",1,emails,email,email_013_Bitcoin_P2P_e-cash_paper,13,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['What did Satoshi Nakamoto say about peer-to-peer networks?', 'Does the Bitcoin development rely on a globally shared view of all past transactions?']"
".  Nodes will only accept the first one they see, refusing the second one to arrive, so the earlier transaction would have many more nodes working on incorporating it into the next proof-of-work.  In effect, each node votes for its viewpoint of which transaction it saw first by including it in its proof-of-work effort.
If the transactions did come at exactly the same time and there was an even split, it's a toss up based on which gets into a proof-of-work first, and that decides which is valid.
When a node finds a proof-of-work, the new block is propagated throughout the network and everyone adds it to the chain and starts working on the next block after it.  Any nodes that had the other transaction will stop trying to include it in a block, since it's now invalid according to the accepted chain.
The proof-of-work chain is itself self-evident proof that it came from the globally shared view",2,emails,email,email_013_Bitcoin_P2P_e-cash_paper,13,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['How do nodes prioritize transactions in the Bitcoin network?', 'What is the purpose of a proof-of-work effort in this context?', 'Does Satoshi Nakamoto explain how the global shared view is represented in the chain?']"
".  Only the majority of the network together has enough CPU power to generate such a difficult chain of proof-of-work.  Any user, upon receiving the proof-of-work chain, can see what the majority of the network has approved.  Once a transaction is hashed into a link that's a few links back in the chain, it is firmly etched into the global history.
Satoshi Nakamoto
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",3,emails,email,email_013_Bitcoin_P2P_e-cash_paper,13,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_013_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['What is proof-of-work in Bitcoin?', 'Did Satoshi believe that user contributions were necessary for blockchain security?', ""Can anyone generate a proof-of-work chain without using the majority of the network's CPU power?"", 'Is the proof-of-work chain visible to all users after a transaction is hashed into it?', 'When is a linked transaction considered part of global history in Bitcoin?']"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 9, 2008 at 16:31:26 UTC
James A. Donald wrote:
>OK, suppose one node incorporates a bunch of
>transactions in its proof of work, all of them honest
>legitimate single spends and another node incorporates a
>different bunch of transactions in its proof of
>work, all of them equally honest legitimate single
>spends, and both proofs are generated at about the same
>time.
>
>What happens then?
They both broadcast their blocks.  All nodes receive them and keep both, but only work on the one they received first.  We'll suppose exactly half received one first, half the other.
In a short time, all the transactions will finish propagating so that everyone has the full set.  The nodes working on each side will be trying to add the transactions that are missing from their side.  When the next proof-of-work is found, whichever previous block that node was working on, that branch becomes longer and the tie is broken",0,emails,email,email_014_Bitcoin_P2P_e-cash_paper,14,nakamotoinstitute_files\emails\email_014_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_014_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,2,False,"['What happens when two nodes in a Bitcoin network broadcast two blocks with different transactions at approximately the same time?', 'Did Satoshi Nakamoto believe that a tie between proof-of-work branches could be broken by which previous block a node was working on?', 'In what scenario would two independent sets of transactions, incorporated into separate proofs of work, eventually resolve into a single branch?']"
".  Whichever side it is, the new block will contain the other half of the transactions, so in either case, the branch will contain all transactions.  Even in the unlikely event that a split happened twice in a row, both sides of the second split would contain the full set of transactions anyway.
It's not a problem if transactions have to wait one or a few extra cycles to get into a block.
Satoshi Nakamoto
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",1,emails,email,email_014_Bitcoin_P2P_e-cash_paper,14,nakamotoinstitute_files\emails\email_014_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_014_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,2,False,"[""How does a split of transactions in Bitcoin's blockchain affect the number of blocks?"", ""Did Satoshi Nakamoto believe transaction waiting times were a problem in Bitcoin's development?"", ""What was Satoshi's view on the relative importance of containing all transactions in a branch?""]"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 10, 2008 at 02:14:30 UTC
James A. Donald wrote:
> Furthermore, it cannot be made to work, as in the
> proposed system the work of tracking who owns what coins
> is paid for by seigniorage, which requires inflation.
If you're having trouble with the inflation issue, it's easy to tweak it for transaction fees instead.  It's as simple as this: let the output value from any transaction be 1 cent less than the input value.  Either the client software automatically writes transactions for 1 cent more than the intended payment value, or it could come out of the payee's side",0,emails,email,email_015_Bitcoin_P2P_e-cash_paper,15,nakamotoinstitute_files\emails\email_015_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_015_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,2,False,"[""What did James A. Donald say about Bitcoin's inflation problem?"", ""How does Satoshi Nakamoto's proposal tackle the issue of seigniorage?"", 'Did Satoshi mention that tweaking transaction fees can address the inflation issue?', 'When was the idea of subtracting 1 cent from output value proposed for tracking who owns what coins?', 'Is the client software required to automatically write transactions for 1 cent more than the intended payment value?']"
".  The incentive value when a node finds a proof-of-work for a block could be the total of the fees in the block.
Satoshi Nakamoto
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",1,emails,email,email_015_Bitcoin_P2P_e-cash_paper,15,nakamotoinstitute_files\emails\email_015_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_015_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,2,False,"[""What incentive is given to a node for finding a proof-of-work for a block in Bitcoin's blockchain?"", 'In what way do the fees of a block contribute to its verification process according to Satoshi Nakamoto?', 'Was the fee-based system for incentivizing miners mentioned as an enhancement by Satoshi?']"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 10, 2008 at 22:18:20 UTC
James A. Donald wrote:
> So what happened to the coin that lost the race?
>
> ... it is a bit harsh if the guy who came second
> is likely to lose his coin.
When there are multiple double-spent versions of the same transaction, one and only one will become valid.
The receiver of a payment must wait an hour or so before believing that it's valid.  The network will resolve any possible double-spend races by then.
The guy who received the double-spend that became invalid never thought he had it in the first place.  His software would have shown the transaction go from ""unconfirmed"" to ""invalid""",0,emails,email,email_016_Bitcoin_P2P_e-cash_paper,16,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['What would happen to a double-spend transaction if there were multiple versions of the same transaction?', ""How long must the receiver of a payment wait before believing that it's valid?"", 'Would the person who received an invalid double-spent transaction have thought they ever had it in the first place?', 'What is the timeline for when the network resolves possible double-spend races?']"
".  His software would have shown the transaction go from ""unconfirmed"" to ""invalid"".  If necessary, the UI can be made to hide transactions until they're sufficiently deep in the block chain.
> Further, your description of events implies restrictions
> on timing and coin generation - that the entire network
> generates coins slowly compared to the time required for
> news of a new coin to flood the network
Sorry if I didn't make that clear.  The target time between blocks will probably be 10 minutes.
Every block includes its creation time.  If the time is off by more than 36 hours, other nodes won't work on it.  If the timespan over the last 6*24*30 blocks is less than 15 days, blocks are being generated too fast and the proof-of-work difficulty doubles",1,emails,email,email_016_Bitcoin_P2P_e-cash_paper,16,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['Why was a new coin considered invalid if the mining time exceeds a certain threshold?', ""What was the target time between blocks in Bitcoin's development according to Satoshi Nakamoto?"", 'Did Satoshi Nakamoto mention any specific restrictions on mining frequency or timing for generating coins in Bitcoin?', ""Would news of a new block spread quickly throughout the Bitcoin network based on Satoshi's design, and if so, how?"", 'How did the proof-of-work difficulty in Bitcoin change when the time interval between blocks was too short?']"
".  Everyone does the same calculation with the same chain data, so they all get the same result at the same link in the chain.
> We want spenders to have certainty that their
> transaction is valid at the time it takes a spend to
> flood the network, not at the time it takes for branch
> races to be resolved.
Instantant non-repudiability is not a feature, but it's still much faster than existing systems.  Paper cheques can bounce up to a week or two later.  Credit card transactions can be contested up to 60 to 180 days later",2,emails,email,email_016_Bitcoin_P2P_e-cash_paper,16,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['Can an individual have complete certainty that their transaction is valid in a decentralized network like Bitcoin?', 'How long does it typically take for disputes to be resolved and who decides the outcome of a branch race in the Bitcoin blockchain?', ""Why was instant instant non-repudiability considered more desirable than other payment systems' approach?\r\n"", 'Could a spender trust that their transaction is valid immediately after sending it, or did they have to wait for some time?\r\n', ""Do you think the Bitcoin design makes transactions 'non-repudiably instantaneous', given the speed at which updates are propagated to the network?""]"
".  Credit card transactions can be contested up to 60 to 180 days later.  Bitcoin transactions can be sufficiently irreversible in an hour or two.
> If one node is ignoring all spends that it does not
> care about, it suffers no adverse consequences.
With the transaction fee based incentive system I recently posted, nodes would have an incentive to include all the paying transactions they receive.
Satoshi Nakamoto
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",3,emails,email,email_016_Bitcoin_P2P_e-cash_paper,16,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_016_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"[""What is Satoshi's view on transaction irreversibility compared to credit card transactions?"", 'Did Satoshi introduce a system based on incentives for node adoption of new transactions?', 'How soon can a Bitcoin transaction be considered sufficiently irreversible?', 'Can an ignored node suffer adverse consequences without losing information?']"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 13, 2008 at 22:56:55 UTC
James A. Donald wrote:
> It is not sufficient that everyone knows X. We also
> need everyone to know that everyone knows X, and that
> everyone knows that everyone knows that everyone knows X
> - which, as in the Byzantine Generals problem, is the
> classic hard problem of distributed data processing.
The proof-of-work chain is a solution to the Byzantine Generals' Problem.  I'll try to rephrase it in that context.
A number of Byzantine Generals each have a computer and want to attack the King's wi-fi by brute forcing the password, which they've learned is a certain number of characters in length.  Once they stimulate the network to generate a packet, they must crack the password within a limited time to break in and erase the logs, otherwise they will be discovered and get in trouble",0,emails,email,email_017_Bitcoin_P2P_e-cash_paper,17,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"[""What was Satoshi Nakamoto's understanding of the trust problem in distributed systems?"", ""Did Satoshi believe that a proof-of-work system would solve the Byzantine Generals' Problem."", ""According to James A. Donald, what specific challenge did the Byzantine Generals' Problem present for Satoshi's proof-of-work chain?"", ""Was the key concept of brute forcing the password relevant to Satoshi's solution to the Byzantine Generals' Problem?""]"
".  They only have enough CPU power to crack it fast enough if a majority of them attack at the same time.
They don't particularly care when the attack will be, just that they all agree.  It has been decided that anyone who feels like it will announce a time, and whatever time is heard first will be the official attack time.  The problem is that the network is not instantaneous, and if two generals announce different attack times at close to the same time, some may hear one first and others hear the other first.
They use a proof-of-work chain to solve the problem.  Once each general receives whatever attack time he hears first, he sets his computer to solve an extremely difficult proof-of-work problem that includes the attack time in its hash.  The proof-of-work is so difficult, it's expected to take 10 minutes of them all working at once before one of them finds a solution",1,emails,email,email_017_Bitcoin_P2P_e-cash_paper,17,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['What prompted Satoshi Nakamoto and his group of miners to work together on a blockchain-based solution?', 'How did the lack of real-time communication among miners impact their ability to coordinate an attack?', 'When was the first peer-to-peer network formed and how did it lead to the development of Bitcoin?', ""Did Satoshi Nakamoto believe that the proof-of-work system would be sufficient to secure a majority of the network's nodes?"", ""At what point did Satoshi decide on a specific time for the group's mining effort, despite the lack of a coordinated schedule."", ""How did the network's latency affect the timing of the attack, and how was it resolved?"", ""Would the decentralized nature of Bitcoin's early development make it vulnerable to targeted attacks by single entities?""]"
".  Once one of the generals finds a proof-of-work, he broadcasts it to the network, and everyone changes their current proof-of-work computation to include that proof-of-work in the hash they're working on.  If anyone was working on a different attack time, they switch to this one, because its proof-of-work chain is now longer.
After two hours, one attack time should be hashed by a chain of 12 proofs-of-work.  Every general, just by verifying the difficulty of the proof-of-work chain, can estimate how much parallel CPU power per hour was expended on it and see that it must have required the majority of the computers to produce that much proof-of-work in the allotted time.  They had to all have seen it because the proof-of-work is proof that they worked on it",2,emails,email,email_017_Bitcoin_P2P_e-cash_paper,17,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"[""How does a proof-of-work change the difficulty of an attack on Bitcoin's network?"", 'What is the threshold number of proofs-of-work for confirming a transaction?', 'When can a general estimate how much parallel CPU power was expended to produce 12 proofs-of-work?', 'Does Satoshi Nakamoto believe that multiple actors in the network are needed to achieve proof-of-work?', 'Is the length of the proof-of-work chain useful for determining the distribution of computing power on the network?']"
".  They had to all have seen it because the proof-of-work is proof that they worked on it.  If the CPU power exhibited by the proof-of-work chain is sufficient to crack the password, they can safely attack at the agreed time.
The proof-of-work chain is how all the synchronisation, distributed database and global view problems you've asked about are solved.
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",3,emails,email,email_017_Bitcoin_P2P_e-cash_paper,17,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_017_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,4,False,"['What did Satoshi Nakamoto mean by ""proof of work is proof that they worked on it""?', ""How does the proof of work chain address issues with synchronisation, distributed database, and global view in Bitcoin's architecture?"", 'To what extent does Satoshi believe that CPU power exhibited by a Bitcoin block can be used to crack the password?']"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 14, 2008 at 18:55:35 UTC
Hal Finney wrote:
> I think it is necessary that nodes keep a separate
> pending-transaction list associated with each candidate chain.
> ... One might also ask ... how many candidate chains must
> a given node keep track of at one time, on average?
Fortunately, it's only necessary to keep a pending-transaction pool for the current best branch.  When a new block arrives for the best branch, ConnectBlock removes the block's transactions from the pending-tx pool.  If a different branch becomes longer, it calls DisconnectBlock on the main branch down to the fork, returning the block transactions to the pending-tx pool, and calls ConnectBlock on the new branch, sopping back up any transactions that were in both branches.  It's expected that reorgs like this would be rare and shallow.
With this optimisation, candidate branches are not really any burden",0,emails,email,email_018_Bitcoin_P2P_e-cash_paper,18,nakamotoinstitute_files\emails\email_018_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_018_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,3,False,"['What is the purpose of a separate pending-transaction list in peer-to-peer networks?', 'Did Satoshi Nakamoto expect reorganized branches to be rare and shallow.', 'When does ConnectBlock remove transactions from a pending-tx pool?', 'How many candidate chains must a given node keep track of at one time, on average?\n', 'Will transactions that were in both branches be returned to the pending-tx pool after a different branch becomes longer.\n', ""What is specifically being 'stopped' by ConnectBlock after a new block arrives for the best branch? "", 'At what point does it call DisconnectBlock on a main branch down to a fork?']"
".  They just sit on the disk and don't require attention unless they ever become the main chain.
> Or as James raised earlier, if the network broadcast
> is reliable but depends on a potentially slow flooding
> algorithm, how does that impact performance?
Broadcasts will probably be almost completely reliable.  TCP transmissions are rarely ever dropped these days, and the broadcast protocol has a retry mechanism to get the data from other nodes after a while.  If broadcasts turn out to be slower in practice than expected, the target time between blocks may have to be increased to avoid wasting resources.  We want blocks to usually propagate in much less time than it takes to generate them, otherwise nodes would spend too much time working on obsolete blocks.
I'm planning to run an automated test with computers randomly sending payments to each other and randomly dropping packets.
> 3",1,emails,email,email_018_Bitcoin_P2P_e-cash_paper,18,nakamotoinstitute_files\emails\email_018_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_018_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,3,False,"['Can peer-to-peer networks be reliable if their broadcasting relies on a flooding algorithm?', 'Did Satoshi suggest increasing the delay for block propagation to improve network performance?', ""What is Satoshi's take on wasting resources due to broadcasting delays in a decentralized system?""]"
". The bitcoin system turns out to be socially useful and valuable, so
> that node operators feel that they are making a beneficial contribution
> to the world by their efforts (similar to the various ""@Home"" compute
> projects where people volunteer their compute resources for good causes).
>
> In this case it seems to me that simple altruism can suffice to keep the
> network running properly.
It's very attractive to the libertarian viewpoint if we can explain it properly.  I'm better with code than with words though.
Satoshi Nakamoto
---------------------------------------------------------------------
The Cryptography Mailing List
Unsubscribe by sending ""unsubscribe cryptography"" to majordomo at metzdowd.com
Bitcoin P2P e-cash paper
Cryptography Mailing List",2,emails,email,email_018_Bitcoin_P2P_e-cash_paper,18,nakamotoinstitute_files\emails\email_018_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_018_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,3,False,"[""What is Satoshi Nakamoto's view on peer-to-peer networks?"", 'Did Satoshi mention the concept of computing power as a motivator for node operators in the bitcoin system?', 'Was the libertarian viewpoint an important consideration for Satoshi when designing the network?', 'When did Satoshi attribute the feasibility of keeping the network running properly to simple altruism?', ""How does Satoshi relate volunteer-based compute projects like '@Home' to the bitcoin system's operation?""]"
"From: | Satoshi Nakamoto | Subject: | Bitcoin P2P e-cash paper | Date: | November 15, 2008 at 04:43:00 UTC
I'll try and hurry up and release the sourcecode as soon as possible to serve as a reference to help clear up all these implementation questions.
Ray Dillinger (Bear) wrote:
> When a coin is spent, the buyer and seller digitally sign a (blinded)
> transaction record.
Only the buyer signs, and there's no blinding.
> If someone double spends, then the transaction record
> can be unblinded revealing the identity of the cheater.
Identities are not used, and there's no reliance on recourse.  It's all prevention.
> This is done via a fairly standard cut-and-choose
> algorithm where the buyer responds to several challenges
> with secret shares
No challenges or secret shares.  A basic transaction is just what you see in the figure in section 2",0,emails,email,email_019_Bitcoin_P2P_e-cash_paper,19,nakamotoinstitute_files\emails\email_019_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_019_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,7,False,"['What are some key differences between blinding and unblinding in Bitcoin transactions?', 'Was the release of source code a priority for Satoshi Nakamoto after addressing implementation questions?', ""How does Satoshi's approach to prevention differ from Ray Dillinger's suggestions about digital signatures?""]"
".  A basic transaction is just what you see in the figure in section 2.  A signature (of the buyer) satisfying the public key of the previous transaction, and a new public key (of the seller) that must be satisfied to spend it the next time.
> They may also receive chains as long as the one they're trying to
> extend while they work, in which the last few ""links"" are links
> that are *not* in common with the chain on which they're working.
> These they ignore.
Right, if it's equal in length, ties are broken by keeping the earliest one received.
> If it contains a double spend, then they create a ""transaction""
> which is a proof of double spending, add it to their pool A,
> broadcast it, and continue work.
There's no need for reporting of ""proof of double spending"" like that.  If the same chain contains both spends, then the block is invalid and rejected.
Same if a block didn't have enough proof-of-work.  That block is invalid and rejected",1,emails,email,email_019_Bitcoin_P2P_e-cash_paper,19,nakamotoinstitute_files\emails\email_019_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_019_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,7,False,"[""What is a proof of double spending in Bitcoin's transaction verification?"", 'Can you explain what it means for a block to be invalid due to lacking proof-of-work?', ""How are the last few links ignored when extending a chain in Bitcoin's blockchain?"", 'Did Satoshi mention any scenarios where a chain contains both spends and results in an invalid block?', 'Are ties broken by keeping the earliest received link when comparing chains of equal length in Bitcoin?']"
".  That block is invalid and rejected.  There's no need to circulate a report about it.  Every node could see that and reject it before relaying it.
If there are two competing chains, each containing a different version of the same transaction, with one trying to give money to one person and the other trying to give the same money to someone else, resolving which of the spends is valid is what the whole proof-of-work chain is about.
We're not ""on the lookout"" for double spends to sound the alarm and catch the cheater.  We merely adjudicate which one of the spends is valid.  Receivers of transactions must wait a few blocks to make sure that resolution has had time to complete.  Would be cheaters can try and simultaneously double-spend all they want, and all they accomplish is that within a few blocks, one of the spends becomes valid and the others become invalid",2,emails,email,email_019_Bitcoin_P2P_e-cash_paper,19,nakamotoinstitute_files\emails\email_019_Bitcoin_P2P_e-cash_paper.html,nakamotoinstitute_files\emails\email_019_Bitcoin_P2P_e-cash_paper.html,Bitcoin P2P e-cash paper,7,False,"[""What did Bitcoin's creator mean by 'circulate a report' about an invalid blockchain block?"", 'How long must receivers wait for transactions to verify they are valid in the Bitcoin network?', ""Does Satoshi Nakamoto's Bitcoin protocol check for double-spend attempts to prevent cheating?"", 'Can cheaters effectively circumvent the system if they try to simultaneously double-spend a transaction?', 'Is there any limit to how quickly one of the spends becomes valid after a simultaneous attempt by multiple users?']"
